Number,tweet_text,Tweets,Date,Sentiment,Score,Effective Sentiment Score,Score Cumulative
135,  Funny they should use that word Irrelevant    there is a downloadable tool on  that can be used to check if Pegasus was deployed on any private citizens android or iOS device So their whole line of thinking in that case is irrelevant,"['funny', 'use', 'word', 'irrelevant', 'downloadable', 'tool', 'used', 'check', 'pegasus', 'deployed', 'private', 'citizens', 'android', 'ios', 'device', 'whole', 'line', 'thinking', 'case', 'irrelevant']",01-07-2021,positive,0.698061764,0.198061764,3.435789438
1668,  had approached the SupremeCourt by way of filing a PIL   seeking issuance of directions to the respondents to ensure the protection of fundamental rights of the citizens of India in the backdrop of the Pegasus controversySupremeCourt  PrivacyMatters,"['approached', 'supremecourt', 'way', 'filing', 'pil', 'seeking', 'issuance', 'directions', 'respondents', 'ensure', 'protection', 'fundamental', 'rights', 'citizens', 'india', 'backdrop', 'pegasus', 'controversysupremecourt', 'privacymatters']",01-07-2021,positive,0.622446835,0.122446835,3.558236273
932,  has the technical details of  the NSO Group using this exploit in its Pegasus spyware to sell access to targeted iPhones by sending malicious files in iMessageWho knows how many other spy agencies amp criminals were using it too,"['technical', 'details', 'nso', 'group', 'using', 'exploit', 'pegasus', 'spyware', 'sell', 'access', 'targeted', 'iphones', 'sending', 'malicious', 'files', 'imessagewho', 'knows', 'many', 'spy', 'agencies', 'amp', 'criminals', 'using']",01-07-2021,negative,0.321682364,-0.178317636,3.379918637
1829,  He thinks india will forget pegasusgalwanvalleyclash gangabodiesmigrantdeathsPetrol open taxation N his audacity to celebrate his disgusting birth 3weeksIndians have shown themselves to be truly low caliber,"['thinks', 'india', 'forget', 'pegasusgalwanvalleyclash', 'gangabodiesmigrantdeathspetrol', 'open', 'taxation', 'n', 'audacity', 'celebrate', 'disgusting', 'birth', '3weeksindians', 'shown', 'truly', 'low', 'caliber']",01-07-2021,neutral,0.491714776,-0.008285224,3.371633413
1094,  How convenient Pegasus Pegasus surveillance is a crime against Indias citizens and our constitutional libertiesamp commitments The Modi government has either committed treason or has breached the privacy of its citizens  It can no longer hide behind National Security ,"['convenient', 'pegasus', 'pegasus', 'surveillance', 'crime', 'indias', 'citizens', 'constitutional', 'libertiesamp', 'commitments', 'modi', 'government', 'either', 'committed', 'treason', 'breached', 'privacy', 'citizens', 'longer', 'hide', 'behind', 'national', 'security']",01-07-2021,negative,0.11587432,-0.38412568,2.987507733
1107,  I just dont understand why people are afraid of Pegasus Our country has innumerable experts with PhD in IT Why cant any of them develop an antidot software  for Pegasus virus If Israel can develop why not we Indians ,"['dont', 'understand', 'people', 'afraid', 'pegasus', 'country', 'innumerable', 'experts', 'phd', 'cant', 'develop', 'antidot', 'software', 'pegasus', 'virus', 'israel', 'develop', 'indians']",01-07-2021,negative,0.006274343,-0.493725657,2.493782076
1051,  I thought the attackers having the upper hand due to ZeroDays and using them vs the Defenders who get Pwned THEN have to figure out the ZeroDay mitigation was the issue mostly besides the whitelisted by AV platforms FinSpy amp Pegasus making the above a moot point ,"['thought', 'attackers', 'upper', 'hand', 'due', 'zerodays', 'using', 'vs', 'defenders', 'get', 'pwned', 'figure', 'zeroday', 'mitigation', 'issue', 'mostly', 'besides', 'whitelisted', 'av', 'platforms', 'finspy', 'amp', 'pegasus', 'making', 'moot', 'point']",01-07-2021,negative,0.092670679,-0.407329321,2.086452755
1028,  If they say no we never used Pegasus then the obvious culprits would be China and Pakistan indulge me for a moment C amp P on being indirectly accused by GoI will then hit back with some expos which they were holding as a bargaining chipsophieschoice for GoI,"['say', 'never', 'used', 'pegasus', 'obvious', 'culprits', 'would', 'china', 'pakistan', 'indulge', 'moment', 'c', 'amp', 'p', 'indirectly', 'accused', 'goi', 'hit', 'back', 'expos', 'holding', 'bargaining', 'chipsophieschoice', 'goi']",01-07-2021,positive,0.948265493,0.448265493,2.534718248
1322,  Im sure Germany has been able to build firewalls around whatever they are disclosing Does Indiave the technical amp conceptual capability for itI however want Govt to flat out agree that they have used Pegasus if they have I also want them to specify who they targeted amp why,"['im', 'sure', 'germany', 'able', 'build', 'firewalls', 'around', 'whatever', 'disclosing', 'indiave', 'technical', 'amp', 'conceptual', 'capability', 'iti', 'however', 'want', 'govt', 'flat', 'agree', 'used', 'pegasus', 'also', 'want', 'specify', 'targeted', 'amp']",01-07-2021,negative,0.045714267,-0.454285733,2.080432515
1081,  Indians r good at COPYINGDo we have any world famous softwareapp like US have Google FB Whatsapp or China have TikTok PUBGWe only imitateKoo for TwitterAnd u r talking of antidote software 4 Israeli PegasusU know d handling of ITGST portal by Infosys V r IT coolie,"['indians', 'r', 'good', 'copyingdo', 'world', 'famous', 'softwareapp', 'like', 'us', 'google', 'fb', 'whatsapp', 'china', 'tiktok', 'pubgwe', 'imitatekoo', 'twitterand', 'u', 'r', 'talking', 'antidote', 'software', '4', 'israeli', 'pegasusu', 'know', 'handling', 'itgst', 'portal', 'infosys', 'v', 'r', 'coolie']",01-07-2021,neutral,0.484241456,-0.015758544,2.064673971
377,  IndiaToday Pegasus My todays cartoonTelegram All My Cartoons Support  ,"['indiatoday', 'pegasus', 'todays', 'cartoontelegram', 'cartoons', 'support']",01-07-2021,negative,0.389014751,-0.110985249,1.953688722
626,  Israeli spyware Pegasus is now infecting millions of iPhone users around the world  Bahrain is making a horrific mistake by trusting Israel    ,"['israeli', 'spyware', 'pegasus', 'infecting', 'millions', 'iphone', 'users', 'around', 'world', 'bahrain', 'making', 'horrific', 'mistake', 'trusting', 'israel']",01-07-2021,positive,0.614447773,0.114447773,2.068136495
1042,  It is obviously an admission that the GoI purchased Pegasus from NSO and illegally amp immorally used the spyware in infringement of our constitutional rightsModi must take the responsibility and step down,"['obviously', 'admission', 'goi', 'purchased', 'pegasus', 'nso', 'illegally', 'amp', 'immorally', 'used', 'spyware', 'infringement', 'constitutional', 'rightsmodi', 'must', 'take', 'responsibility', 'step']",01-07-2021,positive,0.616329312,0.116329312,2.184465807
1075,  It is shame on our IT Doctors that they cannot invent a weapon to fight Pegasus  How can Supreme Court say to Govt not to import some thing which we do not amp cannot produce in our country ,"['shame', 'doctors', 'cannot', 'invent', 'weapon', 'fight', 'pegasus', 'supreme', 'court', 'say', 'govt', 'import', 'thing', 'amp', 'cannot', 'produce', 'country']",01-07-2021,negative,0.010090516,-0.489909484,1.694556323
993,  Judicial drama on the stage of Drama company SupremeCourt of Banana Republic India Fraud Democracy  Thief politicianGutter of bureaucracyParasites civil servantsNews factories in media and fool subject of the statePegasus PegasusCase Thats nationalism,"['judicial', 'drama', 'stage', 'drama', 'company', 'supremecourt', 'banana', 'republic', 'india', 'fraud', 'democracy', 'thief', 'politiciangutter', 'bureaucracyparasites', 'civil', 'servantsnews', 'factories', 'media', 'fool', 'subject', 'statepegasus', 'pegasuscase', 'thats', 'nationalism']",01-07-2021,positive,0.712532341,0.212532341,1.907088664
1961,  Let us not blame the sick mind They have their committee on record to put agitation against   What for 1 To carry the agenda of congress Appeasement to Maximum 2 Repeal of Art 370 35A3 Stop RamMandir construction4 Pegasus spyware ,"['let', 'us', 'blame', 'sick', 'mind', 'committee', 'record', 'put', 'agitation', '1', 'carry', 'agenda', 'congress', 'appeasement', 'maximum', '2', 'repeal', 'art', '370', '35a3', 'stop', 'rammandir', 'construction4', 'pegasus', 'spyware']",01-07-2021,negative,0.087161519,-0.412838481,1.494250183
1335,  Lets see whether the elusive Pegasus shall be caughtPegasusSnoopgate,"['lets', 'see', 'whether', 'elusive', 'pegasus', 'shall', 'caughtpegasussnoopgate']",01-07-2021,positive,0.791031659,0.291031659,1.785281842
1792,  New level of Pegasus,"['new', 'level', 'pegasus']",01-07-2021,positive,0.7508955,0.2508955,2.036177342
232,  Pegasus   and  and ,['pegasus'],01-07-2021,positive,0.67842871,0.17842871,2.214606052
1025,  Pegasus Interim Order reservedPegasus Delhi ,"['pegasus', 'interim', 'order', 'reservedpegasus', 'delhi']",01-07-2021,positive,0.66110009,0.16110009,2.375706142
987,  Pegasus is actually a divine mercy for everyone Now noone can sue you or investigate you for your tweets Blame everything on BigBrother watching your phone Don ,"['pegasus', 'actually', 'divine', 'mercy', 'everyone', 'noone', 'sue', 'investigate', 'tweets', 'blame', 'everything', 'bigbrother', 'watching', 'phone']",01-07-2021,positive,0.983855486,0.483855486,2.859561628
607,  Pegasus operators modi government can watch amp hear you in your bathroom in your bedroom and follow you everywhere you goNot only you your family members and even more tragically your childrenMy faith in the system is almost gonePegasusSnoopgate PegasusSpyware,"['pegasus', 'operators', 'modi', 'government', 'watch', 'amp', 'hear', 'bathroom', 'bedroom', 'follow', 'everywhere', 'gonot', 'family', 'members', 'even', 'tragically', 'childrenmy', 'faith', 'system', 'almost', 'gonepegasussnoopgate', 'pegasusspyware']",01-07-2021,positive,0.985322177,0.485322177,3.344883805
7,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,3.723068124
75,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,4.101252443
86,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,4.479436762
155,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,4.857621081
159,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,5.2358054
164,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,5.613989719
284,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,5.992174038
292,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,6.370358357
385,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,6.748542676
547,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,7.126726995
798,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,7.504911314
843,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,7.883095633
1677,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,8.261279952
1682,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,8.639464271
1726,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,9.01764859
1741,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,9.395832909
1755,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,9.774017228
1759,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,10.15220155
1801,  Pegasus Sports NFL Rotating Levitating Hover Football with Bluetooth Speaker LED Lighting  Pegasus Sports  Rotating Levitating Hover Football with NFL Football NFLfans Hurry up to get it for the best price,"['pegasus', 'sports', 'nfl', 'rotating', 'levitating', 'hover', 'football', 'bluetooth', 'speaker', 'led', 'lighting', 'pegasus', 'sports', 'rotating', 'levitating', 'hover', 'football', 'nfl', 'football', 'nflfans', 'hurry', 'get', 'best', 'price']",01-07-2021,positive,0.878184319,0.378184319,10.53038587
